,title,score,reviews
0,"
            Lady Bird (2017)", 99%,355
1,"
            Get Out (2017)", 98%,345
2,"
            Wonder Woman (2017)", 93%,417
3,"
            Coco (2017)", 97%,316
4,"
            Dunkirk (2017)", 92%,423
5,"
            The Big Sick (2017)", 98%,279
6,"
            Star Wars: The Last Jedi (2017)", 91%,429
7,"
            Logan (2017)", 93%,381
8,"
            The Shape of Water (2017)", 92%,401
9,"
            Thor: Ragnarok (2017)", 92%,381
10,"
            The Florida Project (2017)", 96%,282
11,"
            Baby Driver (2017)", 93%,346
12,"
            Spider-Man: Homecoming (2017)", 92%,359
13,"
            War for the Planet of the Apes (2017)", 93%,329
14,"
            Three Billboards Outside Ebbing, Missouri (2017)", 91%,368
15,"
            I Am Not Your Negro (2017)", 98%,192
16,"
            Hidden Figures (2017)", 93%,289
17,"
            The Disaster Artist (2017)", 91%,317
18,"
            Blade Runner 2049 (2017)", 87%,400
19,"
            Mudbound (2017)", 97%,179
20,"
            Faces Places (Visages, villages) (2017)", 99%,133
21,"
            The Salesman (Forushande) (2017)", 96%,189
22,"
            My Life as a Zucchini (Ma vie de courgette) (2017)", 98%,129
23,"
            Logan Lucky (2017)", 92%,258
24,"
            BPM (Beats Per Minute) (120 battements par minute) (2017)", 98%,121
25,"
            The Lego Batman Movie (2017)", 90%,291
26,"
            Lucky (2017)", 97%,139
27,"
            Kedi (2017)", 98%,115
28,"
            City of Ghosts (2017)", 98%,101
29,"
            Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017)", 100%,57
30,"
            Jane (2017)", 98%,100
31,"
            The Work (2017)", 100%,55
32,"
            Dawson City: Frozen Time (2017)", 100%,52
33,"
            God's Own Country (2017)", 97%,114
34,"
            Columbus (2017)", 97%,113
35,"
            Truman (2017)", 99%,68
36,"
            Your Name. (Kimi No Na Wa.) (2017)", 97%,111
37,"
            Strong Island (2017)", 100%,45
38,"
            After the Storm (Umi yori mo mada fukaku) (2017)", 96%,128
39,"
            Whose Streets? (2017)", 98%,82
40,"
            A Ghost Story (2017)", 90%,251
41,"
            Guardians of the Galaxy Vol. 2 (2017)", 84%,374
42,"
            Good Time (2017)", 91%,222
43,"
            Graduation (Bacalaureat) (2017)", 95%,135
44,"
            It (2017)", 85%,348
45,"
            The Meyerowitz Stories (New and Selected) (2017)", 93%,171
46,"
            Dina (2017)", 98%,57
47,"
            Quest (2017)", 98%,57
48,"
            John Wick: Chapter 2 (2017)", 89%,252
49,"
            The Happiest Day in the Life of Olli Mäki (Hymyilevä mies) (2017)", 98%,53
50,"
            Step (2017)", 96%,96
51,"
            The Red Turtle (La tortue rouge) (2017)", 93%,159
52,"
            Trophy (2017)", 98%,48
53,"
            In This Corner of the World (Kono sekai no katasumi ni) (2017)", 97%,69
54,"
            I, Daniel Blake (2017)", 92%,177
55,"
            Menashe (2017)", 95%,110
56,"
            1945 (2017)", 97%,66
57,"
            The Last Laugh (2017)", 98%,44
58,"
            Ex Libris: New York Public Library (2017)", 97%,63
59,"
            Dolores (2017)", 98%,41
60,"
            The Survivalist (2017)", 98%,41
61,"
            The Breadwinner (2017)", 95%,97
62,"
            Raw (2017)", 91%,174
63,"
            Bombshell: The Hedy Lamarr Story (2017)", 95%,87
64,"
            20th Century Women (2017)", 89%,212
65,"
            The B-Side: Elsa Dorfman's Portrait Photography (2017)", 96%,56
66,"
            A Quiet Passion (2017)", 91%,163
67,"
            Thelma (2017)", 92%,141
68,"
            I Called Him Morgan (2017)", 96%,52
69,"
            Stronger (2017)", 90%,182
70,"
            Battle of the Sexes (2017)", 85%,287
71,"
            Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton (2017)", 96%,46
72,"
            The Women's Balcony (Ismach Hatani) (2017)", 96%,46
73,"
            Félicité (2017)", 96%,45
74,"
            American Made (2017)", 86%,252
75,"
            It Comes At Night (2017)", 87%,230
76,"
            Wind River (2017)", 87%,230
77,"
            A Monster Calls (2017)", 86%,249
78,"
            Lady Macbeth (2017)", 89%,179
79,"
            Girls Trip (2017)", 90%,157
80,"
            Darkest Hour (2017)", 84%,286
81,"
            Their Finest (2017)", 90%,154
82,"
            Frantz (2017)", 91%,130
83,"
            Citizen Jane: Battle for the City (2017)", 94%,54
84,"
            The Other Side of Hope (Toivon tuolla puolen) (2017)", 92%,97
85,"
            Gook (2017)", 94%,53
86,"
            The Lost City of Z (2017)", 86%,226
87,"
            Icarus (2017)", 94%,47
88,"
            Abacus: Small Enough to Jail (2017)", 93%,68
89,"
            Human Flow (2017)", 91%,108
90,"
            Okja (2017)", 86%,212
91,"
            Detroit (2017)", 83%,276
92,"
            Land of Mine (Under Sandet) (2017)", 91%,101
93,"
            Endless Poetry (Poesía Sin Fin) (2017)", 93%,57
94,"
            Prevenge (2017)", 92%,77
95,"
            Maudie (2017)", 89%,142
96,"
            All This Panic (2017)", 93%,46
97,"
            School Life (2017)", 93%,45
98,"
            Clash (Eshtebak) (2017)", 93%,44
